departamento;municipio;circuito;establecimiento;mesa;electores
LA CALDERA;LA CALDERA;8A;ESCUELA Nº 4077 JUANA MORO DE LOPEZ;2283;348
METAN;METAN;15C;ESCUELA Nº 4641 JUAN VUCETICH;2473;348
METAN;METAN;15C;ESCUELA Nº 4641 JUAN VUCETICH;2477;348
METAN;METAN;15C;ESCUELA Nº 4706 PROFESOR EVELIO MELIAN;2479;348
METAN;METAN;15C;ESCUELA Nº 4706 PROFESOR EVELIO MELIAN;2481;348
METAN;METAN;15C;ESCUELA Nº 4706 PROFESOR EVELIO MELIAN;2482;348
METAN;METAN;15C;ESCUELA Nº 4706 PROFESOR EVELIO MELIAN;2483;348
ORAN;COL. STA. ROSA;34A;ESCUELA Nº 4294 REVERENDO ANTONIO DI NILLO;3025;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3065;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3066;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3068;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3070;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3071;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3072;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3074;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3076;348
ORAN;PICHANAL;36B;ESCUELA Nº 4095 CNEL. APOLINARIO DE FIGUEROA;3079;348
ORAN;PICHANAL;36B;ESCUELA Nº 4095 CNEL. APOLINARIO DE FIGUEROA;3080;348
ORAN;PICHANAL;36B;ESCUELA Nº 4152 RECONQUISTA;3095;348
ORAN;PICHANAL;36B;ESCUELA Nº 4152 RECONQUISTA;3100;348
ORAN;PICHANAL;36B;ESCUELA Nº 4152 RECONQUISTA;3102;348
ORAN;PICHANAL;36B;ESCUELA Nº 4689 ISLAS MALVINAS;3115;348
ORAN;ORAN;31A;E.E.T. Nº 3104 LANZA COLOMBRES;2802;348
ORAN;ORAN;31A;E.E.T. Nº 3104 LANZA COLOMBRES;2809;348
ORAN;ORAN;31A;ESCUELA DE COMERCIO Nº 5091 PROF. JULIO CORTES;2831;348
ORAN;ORAN;31A;ESCUELA DE COMERCIO Nº 5091 PROF. JULIO CORTES;2845;348
ORAN;ORAN;31A;ESCUELA N° 4292 BERTA BLANCA CEREZO DE MAMANI;2863;348
