departamento;municipio;circuito;establecimiento;mesa;electores
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2345;333
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2409;333
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2414;333
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2417;333
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2423;333
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2520;333
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2524;333
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2525;333
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2527;333
METAN;EL GALPON;17A;ESCUELA Nº 4380 ANTONIO CLÉRICO;2530;333
METAN;EL GALPON;17A;ESCUELA Nº 4380 ANTONIO CLÉRICO;2531;333
METAN;EL GALPON;17A;ESCUELA Nº 4380 ANTONIO CLÉRICO;2532;333
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2460;333
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2463;333
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2464;333
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2465;333
METAN;METAN;15B;ESCUELA Nº 4084 JUANA MANUELA GORRITI;2453;333
METAN;METAN;15B;ESCUELA Nº 4084 JUANA MANUELA GORRITI;2454;333
METAN;METAN;15B;ESCUELA Nº 4084 JUANA MANUELA GORRITI;2458;333
RIVADAVIA;S. V. ESTE;29C;COLEGIO SECUNDARIO Nº 5061 SAN IGNACIO DE LOYOLA;2754;333
RIVADAVIA;S. V. ESTE;29C;COLEGIO SECUNDARIO Nº 5061 SAN IGNACIO DE LOYOLA;2757;333
RIVADAVIA;S. V. ESTE;29C;COLEGIO SECUNDARIO Nº 5061 SAN IGNACIO DE LOYOLA;2758;333
RIVADAVIA;S. V. ESTE;29C;ESCUELA Nº 4505 REPUBLICA DEL PARAGUAY;2765;333
SAN MARTIN;TARTAGAL;43F;ESCUELA Nº 4100 SAN JOSE;3405;333
SAN MARTIN;TARTAGAL;43F;ESCUELA Nº 4100 SAN JOSE;3406;333
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1016;334
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1146;334
CAPITAL;SALTA;2F;E.E.T. Nº 3138 ALBERTO EINSTEIN;1189;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1196;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1197;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1198;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1200;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1201;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1202;334
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1203;334
CAPITAL;SALTA;2L;ESCUELA PARR. Nº 8073 NTRA. SRA. DE LA CANDELARIA;1324;334
CAPITAL;SALTA;3F;ESCUELA Nº 4015 REMEDIOS ESCALADA DE SAN MARTIN;1650;334
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1670;334
CAPITAL;SALTA;3G;ESCUELA Nº 8065 MARTIN FIERRO;1674;334
CAPITAL;SALTA;3G;ESCUELA Nº 8065 MARTIN FIERRO;1675;334
CAPITAL;SAN LORENZO;4D;COLEGIO SECUNDARIO Nº 5164;1857;334
CAPITAL;SAN LORENZO;4D;COLEGIO SECUNDARIO Nº 5164;1860;334
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1850;334
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1851;334
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3638;334
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3639;334
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3642;334
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3647;334
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2337;334
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2410;334
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2411;334
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2412;334
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2413;334
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2416;334
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2426;334
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2428;334
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2430;334
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2431;334
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3750;334
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3757;334
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3758;334
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2519;334
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2526;334
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2528;334
METAN;EL GALPON;17A;ESCUELA Nº 4380 ANTONIO CLÉRICO;2533;334
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2703;334
RIVADAVIA;S. V. ESTE;29C;COLEGIO SECUNDARIO Nº 5061 SAN IGNACIO DE LOYOLA;2755;334
RIVADAVIA;S. V. ESTE;29C;ESCUELA Nº 4505 REPUBLICA DEL PARAGUAY;2760;334
RIVADAVIA;S. V. ESTE;29C;ESCUELA Nº 4505 REPUBLICA DEL PARAGUAY;2761;334
RIVADAVIA;S. V. ESTE;29C;ESCUELA Nº 4505 REPUBLICA DEL PARAGUAY;2762;334
RIVADAVIA;S. V. ESTE;29C;ESCUELA Nº 4505 REPUBLICA DEL PARAGUAY;2763;334
RIVADAVIA;S. V. ESTE;29F;ESCUELA Nº 4128 PUERTO LA PAZ;2769;334
RIVADAVIA;S. V. ESTE;29F;ESCUELA Nº 4128 PUERTO LA PAZ;2770;334
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3385;334
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3396;334
SAN MARTIN;TARTAGAL;43F;ESCUELA Nº 4100 SAN JOSE;3404;334
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1852;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1853;335
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3641;335
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3760;335
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1133;335
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1135;335
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1137;335
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1138;335
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1139;335
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1144;335
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1148;335
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1150;335
CAPITAL;SALTA;2F;E.E.T. Nº 3138 ALBERTO EINSTEIN;1188;335
CAPITAL;SALTA;2P;ESCUELA Nº 4638 FRAY LUIS BELTRAN;1408;335
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1666;335
CAPITAL;SALTA;3G;ESCUELA Nº 8065 MARTIN FIERRO;1673;335
CAPITAL;SALTA;3G;ESCUELA Nº 8065 MARTIN FIERRO;1678;335
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1683;335
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1690;335
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1694;335
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1698;335
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1699;335
CAPITAL;SALTA;3J;ESCUELA Nº 4726 PROF. OSCAR OÑATIVIA;1759;335
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1794;335
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1796;335
CAPITAL;SALTA;3L;ESCUELA Nº 4845 BICENTENARIO DE LA INDEP.ARGENTINA;1785;335
CAPITAL;SAN LORENZO;4D;COLEGIO SECUNDARIO Nº 5164;1859;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1841;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1843;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1845;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1846;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1847;335
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1849;335
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3623;335
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3640;335
CERRILLOS;CERRILLOS;53C;ESCUELA Nº 4837 SAN JOSE DE LOS CERRILLOS;3643;335
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2415;335
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2418;335
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2429;335
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3754;335
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3755;335
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2521;335
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2522;335
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2523;335
METAN;EL GALPON;17A;ESCUELA Nº 4086 MAGDALENA GÜEMES DE TEJADA;2529;335
MOLINOS;MOLINOS;84A;ESCUELA Nº 4088 DR. INDALECIO GOMEZ;3949;335
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2702;335
RIVADAVIA;S. V. ESTE;29C;COLEGIO SECUNDARIO Nº 5061 SAN IGNACIO DE LOYOLA;2756;335
RIVADAVIA;S. V. ESTE;29F;ESCUELA Nº 4128 PUERTO LA PAZ;2771;335
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4091;335
SAN MARTIN;AGUARAY;44A;ESCUELA Nº 4440 MARIA AGAPITO TORO DE LAHUD;3436;335
SAN MARTIN;EMBARCACION;41A;ESCUELA Nº 4528;3182;335
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3382;335
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3384;335
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3388;335
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3394;335
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3756;336
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1021;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1128;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1129;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1130;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1131;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1132;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1134;336
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1136;336
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1142;336
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1143;336
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1145;336
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1151;336
CAPITAL;SALTA;2L;ESCUELA Nº 4647 MARIANO BOEDO;1318;336
CAPITAL;SALTA;3E;ESCUELA Nº 4011 BERNARDINO RIVADAVIA;1630;336
CAPITAL;SALTA;3F;ESCUELA Nº 4008 GRAL. BARTOLOME MITRE;1642;336
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1653;336
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1656;336
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1657;336
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1658;336
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1662;336
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1667;336
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1671;336
CAPITAL;SALTA;3G;ESCUELA Nº 8065 MARTIN FIERRO;1677;336
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1693;336
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1695;336
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1696;336
CAPITAL;SALTA;3H;ESCUELA Nº 4314 BRIG. JUAN A. ALVAREZ DE ARENALES;1697;336
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1791;336
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1793;336
CAPITAL;SALTA;3L;ESCUELA Nº 4845 BICENTENARIO DE LA INDEP.ARGENTINA;1783;336
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2191;336
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2195;336
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2201;336
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1840;336
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1842;336
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1844;336
CAPITAL;SAN LORENZO;4D;ESCUELA Nº 4848 NUESTRA SEÑORA DE ATOCHA;1848;336
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3614;336
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3621;336
CERRILLOS;LA MERCED;54A;ESCUELA Nº 4070 DR. MARIANO BOEDO;3652;336
GENERAL GÜEMES;GRAL. GÜEMES;12C;ESCUELA Nº 4605 CAP. DE FRAG. S. R. GOMEZ ROCA;2407;336
GENERAL GÜEMES;GRAL. GÜEMES;12D;ESCUELA Nº 4788 SANTA TERESITA DEL NIÑO JESÚS;2408;336
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2421;336
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2422;336
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2424;336
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2425;336
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2427;336
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3751;336
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3759;336
MOLINOS;MOLINOS;84A;ESCUELA Nº 4088 DR. INDALECIO GOMEZ;3947;336
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3008;336
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2698;336
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2704;336
SAN MARTIN;AGUARAY;44A;ESCUELA Nº 4134 GAUCHOS DE GÜEMES;3424;336
SAN MARTIN;AGUARAY;44A;ESCUELA Nº 4440 MARIA AGAPITO TORO DE LAHUD;3432;336
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3383;336
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3390;336
SAN MARTIN;TARTAGAL;43E;ESCUELA Nº 4795 LUIS MARIA PRETI;3395;336
SAN MARTIN;TARTAGAL;43F;ESCUELA Nº 4100 SAN JOSE;3407;336
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1795;337
CAFAYATE;CAFAYATE;77A;ESCUELA N° 4704 NORMAL SUPERIOR;3904;337
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1018;337
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1019;337
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1020;337
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1022;337
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1141;337
CAPITAL;SALTA;2F;E.E.T. Nº 3138 ALBERTO EINSTEIN;1190;337
CAPITAL;SALTA;2F;ESCUELA Nº 4012 PTE. JULIO ARGENTINO ROCA;1205;337
CAPITAL;SALTA;2O;ESCUELA Nº 8009 BETANIA DEL SGDO.CORAZON DE JESUS;1395;337
CAPITAL;SALTA;2O;ESCUELA Nº 8009 BETANIA DEL SGDO.CORAZON DE JESUS;1396;337
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1651;337
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1652;337
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1654;337
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1655;337
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1663;337
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1664;337
CAPITAL;SALTA;3G;ESCUELA Nº 4024 PBRO. DR. JUAN FCO. CASTRO;1668;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1681;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1682;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1684;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1685;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1686;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1687;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1688;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1689;337
CAPITAL;SALTA;3H;COLEGIO Nº 8050 JOSE MANUEL ESTRADA;1691;337
CAPITAL;SALTA;3K;COLEGIO SECUNDARIO Nº 5049 25 DE MAYO;1762;337
CAPITAL;SALTA;3K;ESCUELA Nº 4010 SANTA MARIA EUFRASIA PELLETIER;1769;337
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1792;337
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1797;337
CAPITAL;SALTA;3L;COLEGIO SECUNDARIO Nº 5075 BENITA CAMPOS;1798;337
CAPITAL;SALTA;3L;ESCUELA Nº 4845 BICENTENARIO DE LA INDEP.ARGENTINA;1786;337
CAPITAL;SALTA;5H;ESCUELA Nº 4036 DR. AUGUSTO RAUL CORTAZAR;2100;337
CAPITAL;SALTA;5H;ESCUELA Nº 4692 MARIA DEL ROSARIO DE SAN NICOLAS;2105;337
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2193;337
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2197;337
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2199;337
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2200;337
CAPITAL;SALTA;5M;ESCUELA Nº 4732 SAN CARLOS BORROMEO;2202;337
CERRILLOS;CERRILLOS;53A;ESCUELA INFANTIL N° 4858;3626;337
CERRILLOS;CERRILLOS;53A;ESCUELA INFANTIL N° 4858;3627;337
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3615;337
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3616;337
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3618;337
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3619;337
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3620;337
CHICOANA;EL CARRIL;58A;ESCUELA Nº 4281 MANUEL J. CASTILLA;3724;337
GENERAL GÜEMES;GRAL. GÜEMES;12A;COLEGIO SECUNDARIO Nº 5085 DR. MARIANO MORENO;2356;337
GENERAL GÜEMES;GRAL. GÜEMES;12A;ESCUELA Nº 4338 GRAL. JUSTO JOSE DE URQUIZA;2364;337
GENERAL GÜEMES;GRAL. GÜEMES;12C;ESCUELA Nº 4473 HILARIO ASCASUBI;2401;337
GENERAL GÜEMES;GRAL. GÜEMES;12E;ESCUELA Nº 4693 PROF. CLARA GUTIEZ;2420;337
LA VIÑA;CNEL. MOLDES;61A;ESCUELA Nº 4081 CORONEL JOSE DE MOLDES;3753;337
LOS ANDES;S. A. DE LOS COBRES;100A;ESCUELA Nº 4661 HOGAR CARLOS GUIDO SPANO;4115;337
METAN;EL GALPON;17A;ESCUELA Nº 4380 ANTONIO CLÉRICO;2534;337
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2469;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4109 SEÑOR Y VIRGEN DEL MILAGRO;2999;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3006;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3007;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3009;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3010;337
ORAN;H. YRIGOYEN;32B;ESCUELA Nº 4237 MARIA ERNESTINA GUTIERREZ;3011;337
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2697;337
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2699;337
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2700;337
RIVADAVIA;RIV. B. SUR;26B;ESCUELA DE EDUCACION AGROTECNICA Nº 3160;2701;337
